00000000	ROOT
NP00000000	籍贯信息	00000000
CN00000000	中国	NP00000000
CN00010000	北京市	CN00000000
CN00020000	上海市	CN00000000
CN00030000	广东省	CN00000000
CN00040000	深圳市	CN00000000
CN00050000	天津市	CN00000000
CN00060000	重庆市	CN00000000
CN00070000	江苏省	CN00000000
CN00080000	浙江省	CN00000000
CN00090000	四川省	CN00000000
CN00100000	海南省	CN00000000
CN00110000	福建省	CN00000000
CN00120000	山东省	CN00000000
CN00130000	江西省	CN00000000
CN00140000	广西省	CN00000000
CN00150000	安徽省	CN00000000
CN00160000	河北省	CN00000000
CN00170000	河南省	CN00000000
CN00180000	湖北省	CN00000000
CN00190000	湖南省	CN00000000
CN00200000	陕西省	CN00000000
CN00210000	山西省	CN00000000
CN00220000	黑龙江省	CN00000000
CN00230000	辽宁省	CN00000000
CN00240000	吉林省	CN00000000
CN00250000	云南省	CN00000000
CN00260000	贵州省	CN00000000
CN00270000	甘肃省	CN00000000
CN00280000	内蒙古	CN00000000
CN00290000	宁夏	CN00000000
CN00300000	西藏	CN00000000
CN00310000	新疆	CN00000000
CN00320000	青海省	CN00000000
CN00330000	香港	CN00000000
CN00340000	澳门	CN00000000
CN00350000	台湾	CN00000000
CN00360000	国外	NP00000000
CN00030001	广州市	CN00030000
CN00030002	惠州市	CN00030000
CN00030003	汕头市	CN00030000
CN00030004	珠海市	CN00030000
CN00030005	佛山市	CN00030000
CN00030006	中山市	CN00030000
CN00030007	东莞市	CN00030000
CN00030008	从化市	CN00030000
CN00030009	韶关市	CN00030000
CN00030010	江门市	CN00030000
CN00030011	增城市	CN00030000
CN00030012	湛江市	CN00030000
CN00030013	肇庆市	CN00030000
CN00030014	清远市	CN00030000
CN00030015	潮州市	CN00030000
CN00030016	河源市	CN00030000
CN00030017	揭阳市	CN00030000
CN00030018	茂名市	CN00030000
CN00030019	汕尾市	CN00030000
CN00030020	顺德市	CN00030000
CN00070001	南京市	CN00070000
CN00070002	苏州市	CN00070000
CN00070003	无锡市	CN00070000
CN00070004	常州市	CN00070000
CN00070005	昆山市	CN00070000
CN00070006	常熟市	CN00070000
CN00070007	扬州市	CN00070000
CN00070008	南通市	CN00070000
CN00070009	镇江市	CN00070000
CN00070010	徐州市	CN00070000
CN00070011	连云港市	CN00070000
CN00070012	盐城市	CN00070000
CN00070013	张家港市	CN00070000
CN00080001	杭州市	CN00080000
CN00080002	宁波市	CN00080000
CN00080003	温州市	CN00080000
CN00080004	绍兴市	CN00080000
CN00080005	金华市	CN00080000
CN00080006	嘉兴市	CN00080000
CN00080007	台州市	CN00080000
CN00080008	湖州市	CN00080000
CN00080009	丽水市	CN00080000
CN00080010	舟山市	CN00080000
CN00080011	衢州市	CN00080000
CN00090001	成都市	CN00090000
CN00090002	绵阳市	CN00090000
CN00090003	乐山市	CN00090000
CN00090004	泸州市	CN00090000
CN00090005	德阳市	CN00090000
CN00090006	宜宾市	CN00090000
CN00090007	自贡市	CN00090000
CN00090008	内江市	CN00090000
CN00090009	攀枝花市	CN00090000
CN00100001	海口市	CN00100000
CN00100002	三亚市	CN00100000
CN00110001	福州市	CN00110000
CN00110002	厦门市	CN00110000
CN00110003	泉州市	CN00110000
CN00110004	漳州市	CN00110000
CN00110005	莆田市	CN00110000
CN00110006	三明市	CN00110000
CN00110007	南平市	CN00110000
CN00110008	宁德市	CN00110000
CN00110009	龙岩市	CN00110000
CN00120001	济南市	CN00120000
CN00120002	青岛市	CN00120000
